"","date","flag"
"271",2017-09-28,1
"272",2017-09-29,0
"273",2017-09-30,0
"274",2017-10-01,0
"275",2017-10-02,0
"276",2017-10-03,0
"277",2017-10-04,0
"278",2017-10-05,0
"279",2017-10-06,0
"280",2017-10-07,0
"281",2017-10-08,0
"282",2017-10-09,0
"283",2017-10-10,0
"284",2017-10-11,0
"285",2017-10-12,0
"286",2017-10-13,0
"287",2017-10-14,0
"288",2017-10-15,0
"289",2017-10-16,0
"290",2017-10-17,0
"291",2017-10-18,0
"292",2017-10-19,0
"293",2017-10-20,0
"294",2017-10-21,0
"295",2017-10-22,0
"296",2017-10-23,0
"297",2017-10-24,0
"298",2017-10-25,0
"299",2017-10-26,0
"300",2017-10-27,0
"301",2017-10-28,0
"302",2017-10-29,0
"303",2017-10-30,1
"304",2017-10-31,0
"305",2017-11-01,0
"306",2017-11-02,0
"307",2017-11-03,0
"308",2017-11-04,0
"309",2017-11-05,0
"310",2017-11-06,0
"311",2017-11-07,0
"312",2017-11-08,0
"313",2017-11-09,0
"314",2017-11-10,0
"315",2017-11-11,0
"316",2017-11-12,0
"317",2017-11-13,0
"318",2017-11-14,0
"319",2017-11-15,0
"320",2017-11-16,0
"321",2017-11-17,0
"322",2017-11-18,0
"323",2017-11-19,0
"324",2017-11-20,0
"325",2017-11-21,0
"326",2017-11-22,0
"327",2017-11-23,0
"328",2017-11-24,0
"329",2017-11-25,0
"330",2017-11-26,0
"331",2017-11-27,0
"332",2017-11-28,0
"333",2017-11-29,1
"334",2017-11-30,0
"335",2017-12-01,0
"336",2017-12-02,0
"337",2017-12-03,0
"338",2017-12-04,0
"339",2017-12-05,0
"340",2017-12-06,0
"341",2017-12-07,0
"342",2017-12-08,0
"343",2017-12-09,0
"344",2017-12-10,0
"345",2017-12-11,0
"346",2017-12-12,0
"347",2017-12-13,0
"348",2017-12-14,0
"349",2017-12-15,0
"350",2017-12-16,0
"351",2017-12-17,0
"352",2017-12-18,0
"353",2017-12-19,0
"354",2017-12-20,0
"355",2017-12-21,0
"356",2017-12-22,0
"357",2017-12-23,0
"358",2017-12-24,0
"359",2017-12-25,0
"360",2017-12-26,0
"361",2017-12-27,0
"362",2017-12-28,1
"363",2017-12-29,0
"364",2017-12-30,0
"365",2017-12-31,0
"366",2018-01-01,0
"367",2018-01-02,0
"368",2018-01-03,0
"369",2018-01-04,0
"370",2018-01-05,0
"371",2018-01-06,0
"372",2018-01-07,0
"373",2018-01-08,0
"374",2018-01-09,0
"375",2018-01-10,0
"376",2018-01-11,0
"377",2018-01-12,0
"378",2018-01-13,0
"379",2018-01-14,0
"380",2018-01-15,0
"381",2018-01-16,0
"382",2018-01-17,0
"383",2018-01-18,0
"384",2018-01-19,0
"385",2018-01-20,0
"386",2018-01-21,0
"387",2018-01-22,0
"388",2018-01-23,0
"389",2018-01-24,0
"390",2018-01-25,0
"391",2018-01-26,0
"392",2018-01-27,0
"393",2018-01-28,0
"394",2018-01-29,0
"395",2018-01-30,1
"396",2018-01-31,0
"397",2018-02-01,0
"398",2018-02-02,0
"399",2018-02-03,0
"400",2018-02-04,0
"401",2018-02-05,0
"402",2018-02-06,0
"403",2018-02-07,0
"404",2018-02-08,0
"405",2018-02-09,0
"406",2018-02-10,0
"407",2018-02-11,0
"408",2018-02-12,0
"409",2018-02-13,0
"410",2018-02-14,0
"411",2018-02-15,0
"412",2018-02-16,0
"413",2018-02-17,0
"414",2018-02-18,0
"415",2018-02-19,0
"416",2018-02-20,0
"417",2018-02-21,0
"418",2018-02-22,0
"419",2018-02-23,0
"420",2018-02-24,0
"421",2018-02-25,0
"422",2018-02-26,0
"423",2018-02-27,1
"424",2018-02-28,0
